Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
9524,PG,Stephen,Curry,47.9,28,10900,CLE@GS,GS,CLE,,
9644,SG,James,Harden,46.8,30,10600,SA@HOU,HOU,SA,,
9488,SF,LeBron,James,45.7,25,10400,CLE@GS,CLE,GS,,
15755,PF,Anthony,Davis,44.2,25,10400,NO@MIA,NO,MIA,,
9642,PG,Russell,Westbrook,48.6,29,10400,CHI@OKC,OKC,CHI,,
9646,SF,Kevin,Durant,43.6,23,10000,CHI@OKC,OKC,CHI,,
15860,PF,Draymond,Green,38.2,28,9200,CLE@GS,GS,CLE,,
9560,PF,Blake,Griffin,41.4,29,9000,LAC@LAL,LAC,LAL,,
9623,PG,Chris,Paul,36.2,24,9000,LAC@LAL,LAC,LAL,,
14513,SF,Kawhi,Leonard,38.7,28,8900,SA@HOU,SA,HOU,,
9570,PF,Pau,Gasol,37,25,8900,CHI@OKC,CHI,OKC,,
14528,SG,Jimmy,Butler,36,26,8500,CHI@OKC,CHI,OKC,,
9874,PF,Kevin,Love,34.6,26,7800,CLE@GS,CLE,GS,,
12363,C,Hassan,Whiteside,33.5,27,7700,NO@MIA,MIA,NO,,
14498,PG,Kyrie,Irving,16.2,2,7700,CLE@GS,CLE,GS,,
9561,C,DeAndre,Jordan,32.9,29,7500,LAC@LAL,LAC,LAL,,
9660,C,Dwight,Howard,31.9,24,7400,SA@HOU,HOU,SA,,
9692,PG,Tyreke,Evans,34.3,11,7300,NO@MIA,NO,MIA,,
9688,PF,LaMarcus,Aldridge,29.7,28,7300,SA@HOU,SA,HOU,,
9566,SG,Kobe,Bryant,27.9,25,7200,LAC@LAL,LAL,LAC,,
14509,SG,Klay,Thompson,28,26,7200,CLE@GS,GS,CLE,,
9718,PF,Chris,Bosh,32.3,27,7200,NO@MIA,MIA,NO,,
9585,SG,Dwyane,Wade,30.3,26,7100,NO@MIA,MIA,NO,,
9475,PG,Derrick,Rose,25,24,6300,CHI@OKC,CHI,OKC,,
9957,PF,Serge,Ibaka,27.4,29,6300,CHI@OKC,OKC,CHI,,
9710,C,Tim,Duncan,25.6,27,6200,SA@HOU,SA,HOU,,
9772,PF,Ryan,Anderson,26.9,26,6000,NO@MIA,NO,MIA,,
20640,PG,Jordan,Clarkson,23.7,27,5800,LAC@LAL,LAL,LAC,,
9673,PG,Goran,Dragic,23.4,26,5800,NO@MIA,MIA,NO,GTD,Wrist
42669,PF,Julius,Randle,25.8,28,5600,LAC@LAL,LAL,LAC,GTD,Ankle
9663,PG,Jrue,Holiday,22.9,22,5600,NO@MIA,NO,MIA,,
9538,SF,Trevor,Ariza,23.6,29,5500,SA@HOU,HOU,SA,,
9702,PG,Tony,Parker,23.6,29,5500,SA@HOU,SA,HOU,,
9483,C,Joakim,Noah,22.6,25,5400,CHI@OKC,CHI,OKC,O,Shoulder
9662,SG,Louis,Williams,21.5,27,5400,LAC@LAL,LAL,LAC,,
58312,PG,D'Angelo,Russell,22.3,29,5300,LAC@LAL,LAL,LAC,,
15946,SF,Harrison,Barnes,23.5,17,5200,CLE@GS,GS,CLE,GTD,Ankle
15757,PF,Terrence,Jones,19,25,5000,SA@HOU,HOU,SA,,
9556,SG,Eric,Gordon,23.3,28,5000,NO@MIA,NO,MIA,,
9506,SG,J.R.,Smith,19.2,22,4900,CLE@GS,CLE,GS,,
55059,PF,Clint,Capela,20.9,29,4900,SA@HOU,HOU,SA,,
14522,SF,Nikola,Mirotic,20.5,26,4800,CHI@OKC,CHI,OKC,,
16331,C,Festus,Ezeli,20.9,28,4800,CLE@GS,GS,CLE,,
