Player,G,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL,FPTS
"Arthur, Darrell",0,0,0,1,0,0,0,3,2,0.667,0,0,0,29-Dec-15,21500473,DEN vs. CLE,10,0,0,-5,4,201589,1,22015,0,0,0,,5
"Arthur, Darrell",1,1,0,0,2,1,0.5,5,1,0.2,2,2,1,27-Dec-15,21500456,DEN @ OKC,19,2,1,-2,5,201589,2,22015,1,1,1,L,11
"Arthur, Darrell",2,1,0,1,0,0,0,6,3,0.5,0,0,0,26-Dec-15,21500450,DEN @ SAS,20,0,5,9,6,201589,1,22015,0,1,1,L,8
"Arthur, Darrell",3,3,2,9,2,1,0.5,14,9,0.643,0,0,0,23-Dec-15,21500433,DEN @ PHX,28,1,3,11,19,201589,10,22015,1,3,1,W,42
"Arthur, Darrell",4,1,0,2,2,1,0.5,8,4,0.5,0,0,0,22-Dec-15,21500422,DEN vs. LAL,20,1,4,4,9,201589,3,22015,0,0,1,L,14
"Arthur, Darrell",5,0,0,0,0,0,0,1,1,1,0,0,0,20-Dec-15,21500409,DEN vs. NOP,6,0,0,3,2,201589,0,22015,0,0,1,L,2
"Arthur, Darrell",6,0,2,1,0,0,0,7,3,0.429,0,0,0,18-Dec-15,21500395,DEN @ UTA,18,0,0,1,6,201589,1,22015,2,0,1,L,15
"Arthur, Darrell",7,0,1,0,1,0,0,6,3,0.5,0,0,0,15-Dec-15,21500368,DEN @ MIN,15,0,1,2,6,201589,0,22015,2,1,1,W,11
"Arthur, Darrell",8,0,0,1,0,0,0,1,0,0,0,0,0,8-Dec-15,21500317,DEN vs. ORL,7,0,0,3,0,201589,1,22015,1,0,1,L,3
"Arthur, Darrell",9,2,1,2,4,2,0.5,6,3,0.5,0,0,0,5-Dec-15,21500289,DEN @ PHI,21,1,6,-5,8,201589,3,22015,2,1,1,W,21
"Arthur, Darrell",10,2,2,5,3,3,1,14,8,0.571,0,0,0,3-Dec-15,21500278,DEN @ TOR,27,1,3,-3,19,201589,6,22015,2,0,1,W,39
"Arthur, Darrell",11,0,1,0,0,0,0,10,6,0.6,2,1,0.5,2-Dec-15,21500273,DEN @ CHI,19,2,2,-7,13,201589,2,22015,1,0,1,L,19
"Arthur, Darrell",12,0,0,2,0,0,0,5,2,0.4,0,0,0,30-Nov-15,21500258,DEN @ MIL,21,1,2,-1,4,201589,3,22015,2,2,1,L,10
"Arthur, Darrell",13,1,2,2,0,0,0,13,8,0.615,0,0,0,28-Nov-15,21500241,DEN @ DAL,31,3,3,-10,16,201589,5,22015,2,3,1,L,30
"Arthur, Darrell",14,0,0,3,0,0,0,6,1,0.167,0,0,0,27-Nov-15,21500235,DEN vs. SAS,25,2,2,-6,2,201589,5,22015,1,0,1,L,10
"Arthur, Darrell",15,1,0,4,0,0,0,10,5,0.5,2,1,0.5,24-Nov-15,21500212,DEN vs. LAC,30,1,5,-10,11,201589,5,22015,0,3,1,L,17
"Arthur, Darrell",16,0,0,5,1,1,1,12,9,0.75,4,2,0.5,22-Nov-15,21500200,DEN vs. GSW,34,3,3,-3,21,201589,8,22015,1,1,1,L,33
"Arthur, Darrell",17,1,0,0,0,0,0,9,4,0.444,0,0,0,20-Nov-15,21500185,DEN vs. PHX,19,3,2,6,8,201589,3,22015,0,0,1,L,13
"Arthur, Darrell",18,0,0,3,2,1,0.5,9,4,0.444,0,0,0,18-Nov-15,21500172,DEN @ SAS,18,2,1,-7,9,201589,5,22015,0,1,1,L,15
"Arthur, Darrell",19,0,1,1,0,0,0,3,1,0.333,0,0,0,14-Nov-15,21500143,DEN @ PHX,8,0,2,-4,2,201589,1,22015,0,0,1,L,5
"Arthur, Darrell",20,1,0,3,0,0,0,2,0,0,0,0,0,13-Nov-15,21500136,DEN vs. HOU,12,0,2,9,0,201589,3,22015,1,0,1,W,7
"Arthur, Darrell",21,3,2,1,1,0,0,3,1,0.333,0,0,0,11-Nov-15,21500121,DEN vs. MIL,18,0,2,8,2,201589,1,22015,0,0,1,W,11
"Arthur, Darrell",22,1,2,3,1,0,0,5,1,0.2,0,0,0,9-Nov-15,21500102,DEN vs. POR,20,0,3,2,2,201589,3,22015,0,1,1,W,10
"Arthur, Darrell",23,1,0,1,1,0,0,5,1,0.2,2,2,1,6-Nov-15,21500083,DEN @ GSW,12,2,4,6,4,201589,3,22015,1,0,1,L,11
"Arthur, Darrell",24,1,0,2,1,0,0,5,1,0.2,0,0,0,5-Nov-15,21500073,DEN vs. UTA,14,2,2,-14,2,201589,4,22015,2,0,1,L,12
"Arthur, Darrell",25,1,1,4,1,0,0,5,1,0.2,0,0,0,3-Nov-15,21500059,DEN @ LAL,16,0,2,-1,2,201589,4,22015,0,0,1,W,10
"Arthur, Darrell",26,1,1,2,0,0,0,7,3,0.429,0,0,0,1-Nov-15,21500044,DEN @ OKC,24,2,5,-15,6,201589,4,22015,1,0,1,L,16
"Arthur, Darrell",27,2,1,6,3,1,0.333,7,1,0.143,0,0,0,30-Oct-15,21500029,DEN vs. MIN,26,3,5,-6,3,201589,9,22015,0,1,1,L,19
"Arthur, Darrell",28,1,2,1,1,1,1,5,2,0.4,0,0,0,28-Oct-15,21500010,DEN @ HOU,16,1,1,-3,5,201589,2,22015,0,1,1,W,5
"Mudiay, Emmanuel",0,1,0,2,2,0,0,5,1,0.2,0,0,0,11-Dec-15,21500340,DEN vs. MIN,12,0,2,-8,2,1626144,2,22015,0,2,1,W,5
"Mudiay, Emmanuel",1,4,1,1,1,0,0,5,2,0.4,2,2,1,8-Dec-15,21500317,DEN vs. ORL,22,2,1,-6,6,1626144,3,22015,1,5,1,L,17
"Mudiay, Emmanuel",2,6,0,3,3,1,0.333,12,4,0.333,2,1,0.5,5-Dec-15,21500289,DEN @ PHI,31,2,1,-3,10,1626144,5,22015,1,7,1,W,24
"Mudiay, Emmanuel",3,9,0,3,2,1,0.5,9,2,0.222,0,0,0,3-Dec-15,21500278,DEN @ TOR,32,0,2,12,5,1626144,3,22015,0,3,1,W,21
"Mudiay, Emmanuel",4,7,1,2,2,0,0,13,2,0.154,2,0,0,2-Dec-15,21500273,DEN @ CHI,30,1,1,2,4,1626144,3,22015,2,2,1,L,23
"Mudiay, Emmanuel",5,4,0,1,5,1,0.2,11,3,0.273,4,3,0.75,30-Nov-15,21500258,DEN @ MIL,29,0,2,-11,10,1626144,1,22015,1,5,1,L,17
"Mudiay, Emmanuel",6,4,0,5,3,0,0,15,5,0.333,4,2,0.5,28-Nov-15,21500241,DEN @ DAL,34,0,4,-5,12,1626144,5,22015,1,2,1,L,25
"Mudiay, Emmanuel",7,3,0,2,1,0,0,14,3,0.214,3,3,1,27-Nov-15,21500235,DEN vs. SAS,29,1,3,-13,9,1626144,3,22015,0,2,1,L,16
"Mudiay, Emmanuel",8,4,0,2,3,1,0.333,8,3,0.375,0,0,0,24-Nov-15,21500212,DEN vs. LAC,24,1,4,-17,7,1626144,3,22015,1,3,1,L,17
